name;tipo;imagem;descricao;url;data
África;Estudo do Mercado Internacional - Gás Natural;Timeline/África_ESTUDO DO MERCADO INTERNACIONAL DE GÁS NATURAL.png;Diagnóstico sobre o balanço de oferta e demanda de <u>gás natural</u> para o <strong>continente Africano</strong>.;https://drive.google.com/file/d/1GedlRMVsvymqwFqevZB2emymQN4P76pu/view?usp=sharing;01/06/2013
América do Norte;Estudo do Mercado Internacional - Gás Natural;Timeline/América do Norte_ESTUDO DO MERCADO INTERNACIONAL DE GÁS NATURAL.png;Diagnóstico sobre o balanço de oferta e demanda de <u>gás natural</u> para o <strong>continente Norte Americano</strong>.;https://drive.google.com/file/d/1gBcl_f6sGOrjvjcIQoYgIXWl5JZbRsp_/view?usp=sharing;01/06/2013
América Latina;Estudo do Mercado Internacional - Gás Natural;Timeline/América Latina_Estudo do Mercado Internacional - Gás Natural.png;Diagnóstico sobre o balanço de oferta e demanda de <u>gás natural</u> para o <strong>continente Latino Americano</strong>.;https://drive.google.com/file/d/1_fREydk0X-dOJ51qYnD3PU-0MVwDbgKA/view?usp=sharing;01/06/2013
Ásia;Estudo do Mercado Internacional - Gás Natural;Timeline/Ásia_Estudo do Mercado Internacional - Gás Natural.png;Diagnóstico sobre o balanço de oferta e demanda de <u>gás natural</u> para o <strong>continente Asiático</strong>.;https://drive.google.com/file/d/1XAZC-u05PBvhP6ZsNvkqV4_sBO4zgHW0/view?usp=sharing;01/06/2013
Europa;Estudo do Mercado Internacional - Gás Natural;Timeline/Europa_Estudo do Mercado Internacional - Gás Natural.png;Diagnóstico sobre o balanço de oferta e demanda de <u>gás natural</u> para o <strong>continente Europeu</strong>.;https://drive.google.com/file/d/1SVf2mXHsOCMaNtRbNH-GTaSD7M7JTGLF/view?usp=sharing;01/06/2013
Mundo;Estudo do Mercado Internacional - Gás Natural;Timeline/Mundo_Estudo do Mercado Internacional - Gás Natural.png;Diagnóstico sobre o balanço de oferta e demanda de <u>gás natural</u> para o <strong>Mundo</strong>.;https://drive.google.com/file/d/14Hrt6IB-RvLYkUIurLHtSNpjjhih4OA7/view?usp=sharing;01/06/2013
Mundo;Boletim de Óleo e Gás;Timeline/Mundo_Boletim de Óleo e Gás.png;Análise da <strong> indústria petrolífera mundial </strong>, retratando a evolução dos principais <u> indicadores econômicos e de produção </u>.;https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-226/topico-338/Boletim%20de%20Conjuntura%20da%20Ind%C3%BAstria%20do%20Petr%C3%B3leo%20-%20n%C2%BA%201.pdf;01/06/2013
