name;nome
Afghanistan;Afeganistão
Albania;Albânia
Algeria;Argélia
Angola;Angola
Antarctica;Antártida
Argentina;Argentina
Armenia;Armênia
Australia;Austrália
Austria;Áustria
Azerbaijan;Azerbaijão
